data,hora,num,ambiente,ssid,bssid,rssi,canal
08/05/2026,07:05:47,10,Lab. Informática 09,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-88,11
08/05/2026,07:05:47,10,Lab. Informática 09,IFPB,e4:4e:2d:85:4c:60,-89,11
08/05/2026,07:06:14,11,Lab. de Telecomunicações,IFPB,84:f1:47:54:96:e0,-70,1
08/05/2026,07:06:14,11,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:96:e2,-70,1
08/05/2026,07:06:14,11,Lab. de Telecomunicações,IFPB,84:f1:47:54:7f:20,-71,11
08/05/2026,07:06:14,11,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:7f:22,-72,11
08/05/2026,07:06:14,11,Lab. de Telecomunicações,IFPB,84:f1:47:54:fd:c0,-79,6
08/05/2026,07:06:14,11,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:fd:c2,-80,6
08/05/2026,07:06:14,11,Lab. de Telecomunicações,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-84,11
08/05/2026,07:06:14,11,Lab. de Telecomunicações,IFPB,84:f1:47:54:f9:80,-85,11
08/05/2026,07:06:14,11,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:f9:82,-86,11
08/05/2026,07:06:14,11,Lab. de Telecomunicações,IFPB,e4:4e:2d:85:4c:60,-86,11
08/05/2026,07:06:14,11,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:95:e2,-90,11
08/05/2026,07:06:24,12,Lab. de Telecomunicações,IFPB,84:f1:47:54:7f:20,-70,11
08/05/2026,07:06:24,12,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:7f:22,-71,11
08/05/2026,07:06:24,12,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:96:e2,-72,1
08/05/2026,07:06:24,12,Lab. de Telecomunicações,IFPB,84:f1:47:54:96:e0,-72,1
08/05/2026,07:06:24,12,Lab. de Telecomunicações,IFPB,84:f1:47:54:fd:c0,-80,6
08/05/2026,07:06:25,12,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:fd:c2,-80,6
08/05/2026,07:06:25,12,Lab. de Telecomunicações,IFPB,e4:4e:2d:85:4c:60,-83,11
08/05/2026,07:06:25,12,Lab. de Telecomunicações,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-84,11
08/05/2026,07:06:25,12,Lab. de Telecomunicações,IFPB,84:f1:47:54:f9:80,-86,11
08/05/2026,07:06:25,12,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:f9:82,-87,11
08/05/2026,07:06:25,12,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:95:e2,-89,11
08/05/2026,07:06:25,12,Lab. de Telecomunicações,IFPB,84:f1:47:54:95:e0,-90,11
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB,84:f1:47:54:7f:20,-71,11
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:7f:22,-71,11
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB,84:f1:47:54:96:e0,-73,1
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:96:e2,-73,1
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:fd:c2,-81,6
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB,84:f1:47:54:fd:c0,-81,6
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:f9:82,-81,11
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB,84:f1:47:54:f9:80,-81,11
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-82,11
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB,e4:4e:2d:85:4c:60,-83,11
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB,84:f1:47:54:95:e0,-90,11
08/05/2026,07:06:35,13,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:95:e2,-92,11
08/05/2026,07:06:45,14,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:7f:22,-70,11
08/05/2026,07:06:45,14,Lab. de Telecomunicações,IFPB,84:f1:47:54:7f:20,-71,11
08/05/2026,07:06:45,14,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:96:e2,-73,1
08/05/2026,07:06:45,14,Lab. de Telecomunicações,IFPB,84:f1:47:54:96:e0,-74,1
08/05/2026,07:06:45,14,Lab. de Telecomunicações,IFPB,84:f1:47:54:fd:c0,-80,6
08/05/2026,07:06:45,14,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:fd:c2,-80,6
08/05/2026,07:06:45,14,Lab. de Telecomunicações,IFPB,84:f1:47:54:f9:80,-83,11
08/05/2026,07:06:45,14,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:f9:82,-84,11
08/05/2026,07:06:45,14,Lab. de Telecomunicações,IFPB,84:f1:47:54:95:e0,-89,11
08/05/2026,07:06:45,14,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:95:e2,-89,11
08/05/2026,07:06:55,15,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:7f:22,-70,11
08/05/2026,07:06:55,15,Lab. de Telecomunicações,IFPB,84:f1:47:54:7f:20,-70,11
08/05/2026,07:06:55,15,Lab. de Telecomunicações,IFPB,84:f1:47:54:96:e0,-72,1
08/05/2026,07:06:55,15,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:96:e2,-72,1
08/05/2026,07:06:55,15,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:fd:c2,-82,6
08/05/2026,07:06:55,15,Lab. de Telecomunicações,IFPB,84:f1:47:54:fd:c0,-83,6
08/05/2026,07:06:55,15,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:f9:82,-84,11
08/05/2026,07:06:55,15,Lab. de Telecomunicações,IFPB,84:f1:47:54:f9:80,-85,11
08/05/2026,07:06:55,15,Lab. de Telecomunicações,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-86,11
08/05/2026,07:06:56,15,Lab. de Telecomunicações,IFPB,e4:4e:2d:85:4c:60,-90,11
08/05/2026,07:07:14,16,Lab. de Telecomunicações,IFPB,84:f1:47:54:7f:20,-73,11
08/05/2026,07:07:14,16,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:7f:22,-73,11
08/05/2026,07:07:14,16,Lab. de Telecomunicações,IFPB,84:f1:47:54:fd:c0,-76,6
08/05/2026,07:07:14,16,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:fd:c2,-76,6
08/05/2026,07:07:14,16,Lab. de Telecomunicações,IFPB,84:f1:47:54:96:e0,-84,1
08/05/2026,07:07:14,16,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:96:e2,-84,1
08/05/2026,07:07:15,16,Lab. de Telecomunicações,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-86,11
08/05/2026,07:07:15,16,Lab. de Telecomunicações,IFPB,84:f1:47:54:71:00,-87,1
08/05/2026,07:07:15,16,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:71:02,-88,1
08/05/2026,07:07:15,16,Lab. de Telecomunicações,IFPB,b8:11:4b:1d:1e:40,-88,6
08/05/2026,07:07:15,16,Lab. de Telecomunicações,IFPB,e4:4e:2d:85:4c:60,-88,11
08/05/2026,07:07:15,16,Lab. de Telecomunicações,IFPB,84:f1:47:54:f9:80,-89,11
08/05/2026,07:07:15,16,Lab. de Telecomunicações,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-90,6
08/05/2026,07:07:15,16,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:f9:82,-90,11
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:7f:22,-77,11
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:fd:c2,-78,6
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB,84:f1:47:54:7f:20,-78,11
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB,84:f1:47:54:fd:c0,-79,6
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB-VISITANTE,84:f1:47:54:71:02,-86,1
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB,b8:11:4b:1d:1e:40,-86,6
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB-VISITANTE,b8:11:4b:1d:1e:42,-86,6
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB,e4:4e:2d:85:4c:60,-86,11
08/05/2026,07:07:25,17,Lab. de Telecomunicações,IFPB,84:f1:47:54:71:00,-87,1
