data,hora,num,ssid,bssid,rssi,canal,ambiente,areaCrip,codigo
18/11/2025,06:57:34,31,IFPB-VISITANTE,84:f1:47:54:eb:22,-87,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:43,32,IFPB,e4:4e:2d:85:4c:60,-65,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:43,32,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-65,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:43,32,IFPB,24:36:da:2b:bc:00,-81,6,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:43,32,IFPB-VISITANTE,24:36:da:2b:bc:02,-81,6,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:43,32,IFPB,84:f1:47:54:96:e0,-84,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:43,32,IFPB-VISITANTE,84:f1:47:54:96:e2,-84,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:43,32,IFPB,84:f1:47:54:8b:a0,-87,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:43,32,IFPB-VISITANTE,84:f1:47:54:8b:a2,-88,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:52,33,IFPB,e4:4e:2d:85:4c:60,-66,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:52,33,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-66,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:52,33,IFPB,24:36:da:2b:bc:00,-81,6,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:52,33,IFPB-VISITANTE,24:36:da:2b:bc:02,-81,6,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:52,33,IFPB,84:f1:47:54:96:e0,-83,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:52,33,IFPB-VISITANTE,84:f1:47:54:96:e2,-83,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:52,33,IFPB-VISITANTE,84:f1:47:54:eb:22,-88,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:52,33,IFPB-VISITANTE,84:f1:47:54:8b:a2,-88,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:52,33,IFPB,84:f1:47:54:8b:a0,-89,11,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:57:52,33,IFPB,84:f1:47:54:eb:20,-90,1,Lab. de fibras ópticas,Sheep,7
18/11/2025,06:58:01,34,IFPB,e4:4e:2d:85:4c:60,-65,11,Lab. de fibras ópticas,Sheep,7
