data,hora,num,ssid,bssid,rssi,canal,ambiente
17/03/2026,10:37:34,24,IFPB,2C:57:41:D4:69:C0,-84,6,Lab. de telecomunicações
17/03/2026,10:37:34,24,IFPB,84:F1:47:54:96:E0,-85,1,Lab. de telecomunicações
17/03/2026,10:37:34,24,IFPB-VISITANTE,84:F1:47:54:96:E2,-85,1,Lab. de telecomunicações
17/03/2026,10:37:34,24,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-88,11,Lab. de telecomunicações
17/03/2026,10:37:34,24,IFPB,E4:4E:2D:85:4C:60,-89,11,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB,84:F1:47:54:7F:20,-75,11,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB-VISITANTE,84:F1:47:54:7F:22,-75,11,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB,84:F1:47:54:FD:C0,-77,1,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB-VISITANTE,84:F1:47:54:FD:C2,-78,1,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB-VISITANTE,84:F1:47:54:96:E2,-85,1,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB,84:F1:47:54:71:00,-87,1,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB,84:F1:47:54:96:E0,-87,1,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB-VISITANTE,84:F1:47:54:71:02,-87,1,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB,2C:57:41:D4:69:C0,-88,6,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-88,6,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB-VISITANTE,2C:57:41:D4:69:C2,-89,6,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB,B8:11:4B:1D:1E:40,-90,6,Lab. de telecomunicações
17/03/2026,10:37:44,25,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-90,11,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB-VISITANTE,84:F1:47:54:FD:C2,-77,1,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB,84:F1:47:54:FD:C0,-79,1,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB-VISITANTE,84:F1:47:54:7F:22,-80,11,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB,84:F1:47:54:7F:20,-81,11,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB,84:F1:47:54:71:00,-83,1,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB-VISITANTE,84:F1:47:54:71:02,-83,1,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB,84:F1:47:54:96:E0,-86,1,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB,2C:57:41:D4:69:C0,-86,6,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB-VISITANTE,2C:57:41:D4:69:C2,-86,6,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB,E4:4E:2D:85:4C:60,-88,11,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB-VISITANTE,84:F1:47:54:95:E2,-90,11,Lab. de telecomunicações
17/03/2026,10:37:54,26,IFPB,84:F1:47:54:95:E0,-91,11,Lab. de telecomunicações
17/03/2026,10:38:04,27,IFPB,84:F1:47:54:FD:C0,-74,1,Lab. de telecomunicações
