data,hora,num,ssid,bssid,rssi,canal,ambiente,areaCrip,codigo
18/11/2025,06:50:26,9,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-74,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB,84:f1:47:54:6b:80,-80,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB-VISITANTE,84:f1:47:54:6b:82,-80,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB-Sala_Professor_14,24:fd:0d:57:19:26,-81,2,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-82,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB,e4:4e:2d:85:4c:60,-83,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,TP-Link_C3CB,d8:0d:17:3e:c3:cb,-85,4,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,GPDS,00:26:5a:66:55:ef,-86,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB,84:f1:47:54:8b:a0,-86,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB-Sala_Professor_14,48:51:cf:81:b0:9e,-87,2,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB,84:f1:47:54:f9:80,-87,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB-VISITANTE,84:f1:47:54:f9:82,-87,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB-VISITANTE,84:f1:47:54:8b:a2,-87,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,NPEF/NEPA,50:c7:bf:ef:56:8a,-89,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,UA2-MiniLab,60:32:b1:2d:66:c3,-91,10,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB-Sala_13,e8:94:f6:b9:2f:46,-94,10,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:26,9,IFPB TCC,d8:5d:4c:86:7e:66,-95,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:35,10,TP-Link_1324,7c:f1:7e:8d:13:22,-54,3,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:35,10,IFPB,84:f1:47:54:96:e0,-59,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:35,10,IFPB-VISITANTE,84:f1:47:54:96:e2,-59,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:35,10,APTelefonia,58:10:8c:91:f3:aa,-60,1,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:35,10,Asterisk Server,18:0d:2c:7f:f5:9c,-69,10,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:35,10,Intelbras,18:0d:2c:7f:eb:ac,-74,7,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:35,10,IFPB-VISITANTE,24:36:da:2b:bc:02,-78,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:35,10,IFPB,24:36:da:2b:bc:00,-79,6,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:35,10,Lab. de Sinais Digitais,18:d6:c7:f9:37:2f,-82,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:35,10,IFPB,e4:4e:2d:85:4c:60,-82,11,Lab. de aferição e calibração,Chicken,2
18/11/2025,06:50:35,10,IFPB-VISITANTE,e4:4e:2d:85:4c:62,-83,11,Lab. de aferição e calibração,Chicken,2
