num,ambiente,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:9f:fb:80,24:36:da:9f:fb:82,24:36:da:a2:7f:40,24:36:da:a2:7f:42,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:69:c0,2c:57:41:d4:69:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:97:00,84:f1:47:54:97:02,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62
65,Lab. de Instrumentação biomédica,,,-85,-85,,,,,,,,,,,-75,-75,,,,,,,,,,,-85,-85,,,-69,-71,,,,,-88,-88,,,,,,,,,,,-88,-87
66,Lab. de Instrumentação biomédica,,,-87,-87,,,,,,,,,,,-79,-79,,,,,,,,,,,-83,-83,,,-74,-74,,,,,-89,-91,,,,,,,,,,,-85,-84
67,Lab. de Instrumentação biomédica,,,-85,-85,,,,,,,,,,,-76,-76,,,,,,,,,,,-79,-79,,,-74,-74,,,,,-85,-83,,,,,,,,,,,-81,-81
68,Lab. de Instrumentação biomédica,,,-82,-82,,,,,,,,,,,-76,-76,,,,,,,,,,,-89,-87,,,-73,-73,,,,,-90,-90,,,,,,,,,,,-80,-79
69,Lab. de Instrumentação biomédica,,,,-87,,,,,,,,,,,-74,-75,,,,,,,,,,,-85,-84,,,-74,-74,,,,,-86,-86,,,,,,,,,,,-89,-87
70,Lab. de Instrumentação biomédica,,,-86,-86,,,,,,,,,,,-76,-77,,,,,,,,,,,-83,-82,,,-68,-68,,,,,-83,-83,,,,,,,,,,,-86,-88
71,Lab. de aferição e calibração,,,-79,-79,,,,,,,,,,,-72,-72,,,,,,,,,,,-92,,,,-56,-57,,,,,,,,,,,,,,,,,-83,-83
72,Lab. de aferição e calibração,,,-83,-83,,,,,,,,,,,-73,-73,,,,,,,,,,,,,,,-56,-55,,,,,,,,,,,,,,,,,-77,-77
73,Lab. de aferição e calibração,,,-83,-80,,,,,,,,,,,-74,-75,,,,,,,,,,,,,,,-59,-59,-89,-89,,,,,,,,,,,,,,,-75,-75
74,Lab. de aferição e calibração,,,-85,-85,,,,,,,,,,,-75,-76,,,,,,,,,,,,-92,,,-55,-55,,,,,,,,,,,,,,,,,-78,-78
75,Lab. de aferição e calibração,,,-87,-90,,,,,,,,,,,-71,-71,,,,,,,,,,,,,,,-56,-56,,,,,,,,,,,,,,,,,-84,-84
76,Lab. de aferição e calibração,,,-82,-82,,,,,,,,,,,-72,-72,,,,,,,,,,,,,,,-59,-58,,,,,,,,,,,,,,,,,-77,-78
77,Lab. de aferição e calibração,,,-78,-77,,-89,,,,,,,,,-75,-77,,,,,,,,,,,-90,-89,,,-56,-56,,,,,,,,,,,,,,,,,-79,-80
78,Lab. de aferição e calibração,,,-85,-83,,,,,,,,,,,-73,-72,,,,,,,,,,,,,,,-57,-56,,,,,,,,,,,,,,,,,-80,-79
79,Lab. de aferição e calibração,,,-81,-82,,,,,,,,,,,-74,-74,,,,,,,,,,,,,,,-53,-54,,,,,,,,,,,,,,,,,-78,-78
80,Lab. de aferição e calibração,,,-77,-78,,,,,,,,,,,-79,-78,,,,,,,,,,,-91,-90,,,-58,-58,,,,,,,,,,,,,,,,,-78,-78
81,Lab. de medidas em telecomunicações,,,-81,-80,,,,,,,,,,,-75,-75,,,,,,,,,,,,,,,-65,-64,,,,,,,,,,,,,,,,,-75,-75
82,Lab. de medidas em telecomunicações,,,-78,-78,,,,,,,,,,,-75,-75,,,,,,,,,,,,,,,-66,-66,,,,,,,,,,,,,,,,,-78,-78
83,Lab. de medidas em telecomunicações,,,-78,-78,,,,,,,,,,,-80,-79,,,,,,,,,,,,,,,-72,-72,,,,,,,,,,,,,,,,,-78,-77
84,Lab. de medidas em telecomunicações,,-89,-81,-81,,,,,,,,,,,-77,-77,,,,,,,,,,,,,,,-71,-71,,,,,,,,,,,,,,,,,-77,-77
85,Lab. de medidas em telecomunicações,,,-80,-80,,,,,,,,,,,-77,-77,,,,,,,,,,,,,,,-66,-66,,,,,,,,,,,,,,,,,-81,-82
86,Lab. de medidas em telecomunicações,,,-79,-79,,,,,,,,,,,-77,-77,,,,,,,,,,,,,,,-62,-62,,,,,,,,,,,,,,,,,-80,-80
87,Lab. de medidas em telecomunicações,,,-74,-74,,,,,,,,,,,-81,-80,,,,,,,,,,,,,,,-66,-66,,,,,,,,,,,,,,,,,-76,-76
88,Lab. de medidas em telecomunicações,,,-83,-83,,,,,,,,,,,-81,-81,,,,,,,,,,,,,,,-65,-65,,,,,,,,,,,,,,,,,-79,-78
89,Lab. de medidas em telecomunicações,,,-83,-84,,,,,,,,,,,-81,-79,,,,,-87,-89,,,,,,,,,-68,-68,,,,,,,,,,,,,,,,,-73,-74
90,Lab. de medidas em telecomunicações,,,-89,-88,,,,,,,,,,,-77,-78,,,,,,,,,,,,,,,-69,-69,,,,,,,,,,,,,,,,,-79,-79
