num,ambiente,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,2c:57:41:d4:69:c2,4c:e1:75:db:58:80,4c:e1:75:db:58:82,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62
37,Lab. de aferição e calibração,,,-86,-86,,,,-83,-84,,,,,,,,,-59,-59,,,-88,-88,,,,,,,-74,-74
38,Lab. de aferição e calibração,,,-84,-82,,,,-83,-84,,,,,,,,,-58,-58,,,-89,-89,,,,,,,-73,-73
39,Lab. de aferição e calibração,,,-84,-82,,,,-86,-87,,,,,,,,,-58,-58,,,-89,-87,,,,,,,-73,-73
40,Lab. de aferição e calibração,,,-84,-84,,,,-89,-87,,,,,,,,,-59,-60,,,-89,-90,,,,,,,-75,-76
41,Lab. de Instrumentação biomédica,,,-85,-85,,,,-84,-84,,,,,-82,-82,,,-70,-71,,,-85,-86,,,,,,,-81,-82
42,Lab. de Instrumentação biomédica,,,-84,-82,,,,-84,-83,,,,,-86,-86,,,-71,-71,,,-83,-83,,,,,,,-81,-82
43,Lab. de Instrumentação biomédica,,,-85,-85,,,,-85,-86,,,,,-90,-89,,,-71,-71,,,-79,-80,,,,,,,-87,-86
44,Lab. de Instrumentação biomédica,,,-85,-84,,,,-85,-85,,,,,-88,-88,,,-73,-73,,,-81,-81,,,,,,,-86,-88
45,Lab. de Instrumentação biomédica,,,-84,-84,,,,-84,-82,,,,,-81,-81,,,-77,-75,,,-88,-89,,,,,,,-80,-81
46,Auditório de Eng. Elétrica,,-91,,,,,,-82,-83,,,,,-74,-74,-93,-93,-85,-85,-88,-87,-71,-70,,,,,,,-89,-91
47,Auditório de Eng. Elétrica,-90,-90,,,,,,-86,-87,,,,,-76,-75,,-91,-84,-84,-88,-88,-70,-70,,,,,,,-90,-92
48,Auditório de Eng. Elétrica,-90,,,,,,,-86,-87,,,,,-75,-75,,,-87,-87,-85,-85,-69,-69,,,,,,,-88,-88
49,Auditório de Eng. Elétrica,-89,-90,,,,,,-82,-83,,,,,-74,-74,,,-86,-86,-85,-86,-70,-71,,,,,,,-87,-87
50,Auditório de Eng. Elétrica,,,,,,,,-85,-85,,,,,-73,-73,,,-85,-85,-86,-86,-69,-69,,,,,,,-86,-87
51,Coordenação de pós em Eng. Elétrica,,,-83,-83,,,,,,,,,,,,,,,,-80,-82,,,,,,,,,-77,-76
52,Coordenação de pós em Eng. Elétrica,,,-84,-84,,,,,,,,,,,,,,,,-83,-83,,,,,,,,,-75,-74
53,Coordenação de pós em Eng. Elétrica,,,-82,-82,,,,,,,,,,,,,,,,-83,-82,,,,,,,,,-74,-74
54,Coordenação de pós em Eng. Elétrica,,,-83,-83,,,,,,,,,,,,,,,,-82,-82,,,,,,,,,-73,-74
55,Coordenação de pós em Eng. Elétrica,,,-84,-84,,,,,,,,,,,,,,,,-83,-83,,,,,,,,,-74,-74
56,Lab. de redes convergentes,,,-79,-80,,,,,,,,,,,,,,-88,-89,-89,-92,,,,,,,,,-58,-58
57,Lab. de redes convergentes,,,-79,-79,,,,,,,,,,,,,,-82,-82,,,,,,,,,,,-62,-62
58,Lab. de redes convergentes,,,-80,-81,,,,,,,,,,,,,,-82,-81,,,,,,,,,,,-62,-62
59,Lab. de redes convergentes,,,-81,-82,,,,,,,,,,,,,,-86,-85,-91,,,,,,,,,,-62,-62
60,Lab. de redes convergentes,,,-88,-87,,,,,,,,,,,,,,-85,-85,-89,,,,,,,,,,-61,-61
61,Lab. de fibras ópticas,,,-87,-87,,,,,,,,,,,,,,-85,-86,-81,-81,,,,,,,,,-67,-67
62,Lab. de fibras ópticas,,,-84,-83,,,,,,,,,,,,,,-87,-88,-83,-83,,,,,,,,,-71,-71
63,Lab. de fibras ópticas,,,-80,-80,,,,,,,,,,-93,,,,-84,-83,-82,-82,,,,,,,,,-65,-66
64,Lab. de fibras ópticas,,,-81,-81,,,,,,,,,,-90,-90,,,-83,-83,-85,-85,,,,,,,,,-66,-66
65,Lab. de fibras ópticas,,,-83,-83,,,,-91,-89,,,,,,,,,-85,-85,-86,-88,,,,,,,,,-66,-67
66,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,-89,-90,,,-88,-87,-82,-83,,-90,,,,,,,-86,-86
67,Pesquisa em Eng. Elétrica,,,,,,,,,,,,,,-88,-88,,,-86,-85,-82,-83,-86,-87,,,,,,,-82,-81
