data,hora,num,ambiente,XGB05,XGB10,RF05,RF10
62,08/05/2026,07:17:00,Lab. de Medição e Calibração,Lab. de Instrumentação biomédica,Lab. de Medição e Calibração,Lab. de Instrumentação biomédica,Lab. de Medição e Calibração
63,08/05/2026,07:17:10,Lab. de Medição e Calibração,Lab. de Instrumentação biomédica,Lab. de Medição e Calibração,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
64,08/05/2026,07:17:21,Lab. de Medição e Calibração,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica,Lab. de Instrumentação biomédica
65,08/05/2026,07:17:31,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração
66,08/05/2026,07:17:46,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração
67,08/05/2026,07:17:56,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração
68,08/05/2026,07:18:06,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração
69,08/05/2026,07:18:17,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração
70,08/05/2026,07:18:27,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Medição e Calibração,Lab. de Ciências
71,08/05/2026,07:19:07,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
72,08/05/2026,07:19:17,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
73,08/05/2026,07:19:27,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
74,08/05/2026,07:19:37,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
75,08/05/2026,07:19:46,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
76,08/05/2026,07:19:56,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
77,08/05/2026,07:20:06,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
78,08/05/2026,07:20:16,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
79,08/05/2026,07:20:26,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
80,08/05/2026,07:20:36,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Coordenação de pós em Eng. Elétrica
81,08/05/2026,07:21:03,Lab. de redes convergentes,Lab. de redes convergentes,Lab. de fibras ópticas,Lab. de redes convergentes,Lab. de fibras ópticas
82,08/05/2026,07:21:13,Lab. de redes convergentes,Lab. de redes convergentes,Lab. de fibras ópticas,Lab. de redes convergentes,Lab. de fibras ópticas
83,08/05/2026,07:21:23,Lab. de redes convergentes,Lab. de redes convergentes,Lab. de fibras ópticas,Lab. de redes convergentes,Lab. de fibras ópticas
84,08/05/2026,07:21:33,Lab. de redes convergentes,Lab. de fibras ópticas,Coordenação de pós em Eng. Elétrica,Lab. de redes convergentes,Lab. de fibras ópticas
85,08/05/2026,07:21:43,Lab. de redes convergentes,Pesquisa em Eng. Elétrica,Coordenação de pós em Eng. Elétrica,Lab. de fibras ópticas,Pesquisa em Eng. Elétrica
86,08/05/2026,07:21:54,Lab. de redes convergentes,Lab. de fibras ópticas,Coordenação de pós em Eng. Elétrica,Lab. de fibras ópticas,Lab. de fibras ópticas
