num,local,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,2c:57:41:d4:69:c0,2c:57:41:d4:69:c2,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62
1,Lab. Informática 09,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-63.0,-100.0,-100.0,-100.0,-100.0,-87.0,-85.0,-100.0,-100.0,-100.0,-100.0,-86.0,-84.0,-100.0,-100.0,-86.0,-86.0,-83.0,-82.0
2,Lab. Informática 09,-100.0,-100.0,-100.0,-100.0,-89.0,-89.0,-100.0,-100.0,-100.0,-100.0,-63.0,-63.0,-100.0,-100.0,-100.0,-100.0,-86.0,-87.0,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0,-100.0,-100.0,-85.0,-84.0,-83.0,-84.0
3,Lab. Informática 09,-100.0,-100.0,-100.0,-100.0,-86.0,-88.0,-100.0,-100.0,-100.0,-100.0,-62.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-86.0,-100.0,-100.0,-86.0,-84.0,-86.0,-87.0
4,Lab. Informática 09,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-62.0,-62.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-87.0,-100.0,-100.0,-85.0,-85.0,-85.0,-85.0
5,Lab. Informática 09,-100.0,-100.0,-100.0,-100.0,-87.0,-86.0,-100.0,-100.0,-100.0,-100.0,-59.0,-60.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-85.0,-84.0,-100.0,-100.0,-85.0,-85.0,-86.0,-85.0
6,Sala dos técnicos,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-72.0,-100.0,-100.0,-85.0,-85.0,-82.0,-81.0,-100.0,-100.0,-84.0,-85.0,-85.0,-85.0,-100.0,-100.0,-100.0,-100.0,-86.0,-100.0
7,Sala dos técnicos,-100.0,-100.0,-100.0,-100.0,-89.0,-90.0,-100.0,-100.0,-100.0,-100.0,-70.0,-70.0,-100.0,-100.0,-84.0,-83.0,-82.0,-81.0,-100.0,-100.0,-84.0,-83.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-83.0,-83.0
8,Sala dos técnicos,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.0,-74.0,-100.0,-100.0,-85.0,-84.0,-75.0,-75.0,-100.0,-100.0,-85.0,-85.0,-81.0,-80.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0
9,Sala dos técnicos,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-73.0,-100.0,-100.0,-83.0,-83.0,-78.0,-79.0,-100.0,-100.0,-83.0,-84.0,-84.0,-83.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0
10,Sala dos técnicos,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-71.0,-71.0,-100.0,-100.0,-83.0,-83.0,-79.0,-79.0,-100.0,-100.0,-84.0,-84.0,-82.0,-84.0,-100.0,-100.0,-100.0,-100.0,-81.0,-82.0
11,Lab. de telecomunicações,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-70.0,-70.0,-100.0,-100.0,-87.0,-86.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100.0,-78.0,-78.0,-100.0,-100.0,-100.0,-89.0,-87.0,-87.0
12,Lab. de telecomunicações,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-89.0,-69.0,-69.0,-100.0,-100.0,-85.0,-85.0,-88.0,-87.0,-100.0,-100.0,-100.0,-100.0,-78.0,-79.0,-100.0,-100.0,-100.0,-100.0,-87.0,-86.0
13,Lab. de telecomunicações,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-70.0,-70.0,-100.0,-100.0,-85.0,-86.0,-86.0,-85.0,-100.0,-100.0,-100.0,-100.0,-77.0,-77.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0
14,Lab. de telecomunicações,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-68.0,-68.0,-100.0,-100.0,-86.0,-85.0,-88.0,-88.0,-100.0,-100.0,-100.0,-100.0,-79.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
15,Lab. de telecomunicações,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-89.0,-90.0,-68.0,-69.0,-100.0,-100.0,-87.0,-87.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-77.0,-77.0,-100.0,-100.0,-100.0,-100.0,-86.0,-87.0
16,Coordenação de Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.0,-63.0,-87.0,-87.0,-100.0,-100.0,-78.0,-79.0,-84.0,-82.0,-83.0,-85.0,-100.0,-100.0,-100.0,-100.0
17,Coordenação de Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-62.0,-61.0,-100.0,-100.0,-100.0,-100.0,-81.0,-81.0,-86.0,-86.0,-86.0,-85.0,-100.0,-100.0,-100.0,-100.0
18,Coordenação de Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-69.0,-100.0,-100.0,-100.0,-100.0,-85.0,-85.0,-85.0,-84.0,-84.0,-85.0,-100.0,-100.0,-100.0,-100.0
19,Coordenação de Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.0,-68.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-83.0,-84.0,-85.0,-83.0,-100.0,-100.0,-100.0,-100.0
20,Coordenação de Eng. Elétrica,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-63.0,-63.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-89.0,-89.0,-83.0,-84.0,-100.0,-100.0,-100.0,-100.0
21,Auditório de Eng. Elétrica,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-84.0,-85.0,-100.0,-100.0,-100.0,-100.0,-80.0,-79.0,-100.0,-100.0,-87.0,-88.0,-87.0,-87.0,-81.0,-82.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.0,-88.0
22,Auditório de Eng. Elétrica,-87.0,-87.0,-89.0,-100.0,-100.0,-100.0,-81.0,-81.0,-100.0,-100.0,-100.0,-100.0,-79.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-81.0,-80.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-88.0,-87.0
23,Auditório de Eng. Elétrica,-87.0,-85.0,-89.0,-89.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-100.0,-100.0,-80.0,-79.0,-100.0,-100.0,-100.0,-100.0,-87.0,-87.0,-79.0,-79.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-88.0
24,Auditório de Eng. Elétrica,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-79.0,-78.0,-100.0,-100.0,-89.0,-86.0,-87.0,-100.0,-77.0,-76.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0
25,Auditório de Eng. Elétrica,-89.0,-88.0,-100.0,-100.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0,-100.0,-100.0,-88.0,-87.0,-100.0,-100.0,-79.0,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-87.0,-86.0
26,Lab. de Instrumentação biomédica,-100.0,-100.0,-83.0,-83.0,-100.0,-100.0,-84.0,-84.0,-100.0,-100.0,-100.0,-100.0,-82.0,-82.0,-100.0,-100.0,-72.0,-72.0,-100.0,-100.0,-86.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-80.0
27,Lab. de Instrumentação biomédica,-100.0,-100.0,-84.0,-84.0,-100.0,-100.0,-87.0,-87.0,-100.0,-100.0,-100.0,-100.0,-89.0,-83.0,-100.0,-100.0,-69.0,-69.0,-100.0,-100.0,-91.0,-90.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-80.0,-79.0
28,Lab. de Instrumentação biomédica,-100.0,-100.0,-79.0,-79.0,-100.0,-100.0,-86.0,-86.0,-100.0,-100.0,-100.0,-100.0,-85.0,-84.0,-100.0,-100.0,-75.0,-75.0,-100.0,-100.0,-89.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-82.0,-82.0
29,Lab. de Instrumentação biomédica,-100.0,-100.0,-82.0,-81.0,-100.0,-100.0,-87.0,-86.0,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-100.0,-100.0,-74.0,-73.0,-100.0,-100.0,-88.0,-89.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-83.0,-82.0
